"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"C:\DevTools\NetLogo\models\Sample Models\Social Science\Rebellion.nlogox"
"legitimacy-sudden-drop"
"06/30/2026 13:10:50:461 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","39","0","39"
"[run number]","movement?","initial-cop-density","initial-agent-density","vision","max-jail-term","[step]","count agents with [active?]","count agents with [jail-term > 0]","count cops","government-legitimacy"
"2","true","4","70","7","30","29","0","0","64","0.9"
"3","true","4","70","7","30","30","0","0","64","0.9"
"1","true","4","70","7","30","30","0","0","64","0.9"
"2","true","4","70","7","30","30","0","0","64","0.9"
"4","true","4","70","7","30","25","0","0","64","0.9"
"3","true","4","70","7","30","31","0","0","64","0.9"
"1","true","4","70","7","30","31","0","0","64","0.9"
"2","true","4","70","7","30","31","0","0","64","0.9"
"3","true","4","70","7","30","32","0","0","64","0.9"
"4","true","4","70","7","30","26","0","0","64","0.9"
"1","true","4","70","7","30","32","0","0","64","0.9"
"2","true","4","70","7","30","32","0","0","64","0.9"
"3","true","4","70","7","30","33","0","0","64","0.9"
"1","true","4","70","7","30","33","0","0","64","0.9"
"4","true","4","70","7","30","27","0","0","64","0.9"
"2","true","4","70","7","30","33","0","0","64","0.9"
"3","true","4","70","7","30","34","0","0","64","0.9"
"1","true","4","70","7","30","34","0","0","64","0.9"
"4","true","4","70","7","30","28","0","0","64","0.9"
"2","true","4","70","7","30","34","0","0","64","0.9"
"3","true","4","70","7","30","35","0","0","64","0.9"
"1","true","4","70","7","30","35","0","0","64","0.9"
"2","true","4","70","7","30","35","0","0","64","0.9"
"4","true","4","70","7","30","29","0","0","64","0.9"
"3","true","4","70","7","30","36","0","0","64","0.9"
"1","true","4","70","7","30","36","0","0","64","0.9"
"2","true","4","70","7","30","36","0","0","64","0.9"
"3","true","4","70","7","30","37","0","0","64","0.9"
"4","true","4","70","7","30","30","0","0","64","0.9"
"1","true","4","70","7","30","37","0","0","64","0.9"
"2","true","4","70","7","30","37","0","0","64","0.9"
"3","true","4","70","7","30","38","0","0","64","0.9"
"1","true","4","70","7","30","38","0","0","64","0.9"
"4","true","4","70","7","30","31","0","0","64","0.9"
"2","true","4","70","7","30","38","0","0","64","0.9"
"3","true","4","70","7","30","39","0","0","64","0.9"
"1","true","4","70","7","30","39","0","0","64","0.9"
"4","true","4","70","7","30","32","0","0","64","0.9"
"2","true","4","70","7","30","39","0","0","64","0.9"
"3","true","4","70","7","30","40","0","0","64","0.9"
"1","true","4","70","7","30","40","0","0","64","0.9"
"2","true","4","70","7","30","40","0","0","64","0.9"
"4","true","4","70","7","30","33","0","0","64","0.9"
"3","true","4","70","7","30","41","0","0","64","0.9"
"1","true","4","70","7","30","41","0","0","64","0.9"
"2","true","4","70","7","30","41","0","0","64","0.9"
"3","true","4","70","7","30","42","0","0","64","0.9"
"4","true","4","70","7","30","34","0","0","64","0.9"
"1","true","4","70","7","30","42","0","0","64","0.9"
"2","true","4","70","7","30","42","0","0","64","0.9"
"3","true","4","70","7","30","43","0","0","64","0.9"
"1","true","4","70","7","30","43","0","0","64","0.9"
"4","true","4","70","7","30","35","0","0","64","0.9"
"2","true","4","70","7","30","43","0","0","64","0.9"
"3","true","4","70","7","30","44","0","0","64","0.9"
"1","true","4","70","7","30","44","0","0","64","0.9"
"4","true","4","70","7","30","36","0","0","64","0.9"
"2","true","4","70","7","30","44","0","0","64","0.9"
"3","true","4","70","7","30","45","0","0","64","0.9"
"1","true","4","70","7","30","45","0","0","64","0.9"
"2","true","4","70","7","30","45","0","0","64","0.9"
"4","true","4","70","7","30","37","0","0","64","0.9"
"3","true","4","70","7","30","46","0","0","64","0.9"
"1","true","4","70","7","30","46","0","0","64","0.9"
"2","true","4","70","7","30","46","0","0","64","0.9"
"3","true","4","70","7","30","47","0","0","64","0.9"
"4","true","4","70","7","30","38","0","0","64","0.9"
"1","true","4","70","7","30","47","0","0","64","0.9"
"2","true","4","70","7","30","47","0","0","64","0.9"
"3","true","4","70","7","30","48","0","0","64","0.9"
"1","true","4","70","7","30","48","0","0","64","0.9"
"4","true","4","70","7","30","39","0","0","64","0.9"
"2","true","4","70","7","30","48","0","0","64","0.9"
"3","true","4","70","7","30","49","0","0","64","0.9"
"1","true","4","70","7","30","49","0","0","64","0.9"
"4","true","4","70","7","30","40","0","0","64","0.9"
"2","true","4","70","7","30","49","0","0","64","0.9"
"3","true","4","70","7","30","50","0","0","64","0.9"
"1","true","4","70","7","30","50","0","0","64","0.9"
"2","true","4","70","7","30","50","0","0","64","0.9"
"4","true","4","70","7","30","41","0","0","64","0.9"
"3","true","4","70","7","30","51","0","0","64","0.9"
"1","true","4","70","7","30","51","0","0","64","0.9"
"2","true","4","70","7","30","51","0","0","64","0.9"
"4","true","4","70","7","30","42","0","0","64","0.9"
