"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"C:\DevTools\NetLogo\models\Sample Models\Social Science\Rebellion.nlogox"
"tocqueville-legitimacy-erosion"
"06/30/2026 13:12:25:508 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","39","0","39"
"[run number]","movement?","initial-cop-density","initial-agent-density","vision","max-jail-term","[step]","count agents with [active?]","count agents with [jail-term > 0]","count cops","government-legitimacy"
"3","true","4","70","7","30","23","1","428","64","0.74784"
"1","true","4","70","7","30","24","133","554","64","0.74456"
"4","true","4","70","7","30","28","40","198","64","0.73144"
"2","true","4","70","7","30","29","0","189","64","0.7281599999999999"
"1","true","4","70","7","30","25","81","592","64","0.7412799999999999"
"3","true","4","70","7","30","24","13","396","64","0.74456"
"1","true","4","70","7","30","26","20","609","64","0.738"
"4","true","4","70","7","30","29","276","230","64","0.7281599999999999"
"3","true","4","70","7","30","25","23","385","64","0.7412799999999999"
"2","true","4","70","7","30","30","0","162","64","0.72488"
"1","true","4","70","7","30","27","4","595","64","0.7347199999999999"
"4","true","4","70","7","30","30","417","274","64","0.72488"
"1","true","4","70","7","30","28","0","568","64","0.73144"
"3","true","4","70","7","30","26","45","391","64","0.738"
"2","true","4","70","7","30","31","1","140","64","0.7216"
"1","true","4","70","7","30","29","2","543","64","0.7281599999999999"
"4","true","4","70","7","30","31","380","302","64","0.7216"
"3","true","4","70","7","30","27","86","410","64","0.7347199999999999"
"1","true","4","70","7","30","30","2","519","64","0.72488"
"2","true","4","70","7","30","32","80","136","64","0.71832"
"4","true","4","70","7","30","32","358","339","64","0.71832"
"1","true","4","70","7","30","31","2","495","64","0.7216"
"3","true","4","70","7","30","28","175","434","64","0.73144"
"2","true","4","70","7","30","33","467","181","64","0.7150399999999999"
"4","true","4","70","7","30","33","322","367","64","0.7150399999999999"
"1","true","4","70","7","30","32","15","478","64","0.71832"
"3","true","4","70","7","30","29","188","453","64","0.7281599999999999"
"2","true","4","70","7","30","34","485","219","64","0.71176"
"1","true","4","70","7","30","33","34","478","64","0.7150399999999999"
"4","true","4","70","7","30","34","295","401","64","0.71176"
"3","true","4","70","7","30","30","195","471","64","0.72488"
"1","true","4","70","7","30","34","64","483","64","0.71176"
"4","true","4","70","7","30","35","261","431","64","0.70848"
"2","true","4","70","7","30","35","451","260","64","0.70848"
"1","true","4","70","7","30","35","107","502","64","0.70848"
"3","true","4","70","7","30","31","182","506","64","0.7216"
"4","true","4","70","7","30","36","239","460","64","0.7051999999999999"
"2","true","4","70","7","30","36","418","292","64","0.7051999999999999"
"1","true","4","70","7","30","36","162","535","64","0.7051999999999999"
"3","true","4","70","7","30","32","155","529","64","0.71832"
"4","true","4","70","7","30","37","212","490","64","0.70192"
"1","true","4","70","7","30","37","162","550","64","0.70192"
"2","true","4","70","7","30","37","390","338","64","0.70192"
"3","true","4","70","7","30","33","135","563","64","0.7150399999999999"
"4","true","4","70","7","30","38","190","530","64","0.6986399999999999"
"1","true","4","70","7","30","38","155","564","64","0.6986399999999999"
"2","true","4","70","7","30","38","347","383","64","0.6986399999999999"
"4","true","4","70","7","30","39","150","570","64","0.69536"
"3","true","4","70","7","30","34","96","583","64","0.71176"
"1","true","4","70","7","30","39","139","583","64","0.69536"
"4","true","4","70","7","30","40","99","606","64","0.69208"
"3","true","4","70","7","30","35","60","595","64","0.70848"
"2","true","4","70","7","30","39","305","423","64","0.69536"
"1","true","4","70","7","30","40","137","606","64","0.69208"
"4","true","4","70","7","30","41","56","633","64","0.6888"
"3","true","4","70","7","30","36","26","602","64","0.7051999999999999"
"2","true","4","70","7","30","40","269","460","64","0.69208"
"1","true","4","70","7","30","41","112","618","64","0.6888"
"4","true","4","70","7","30","42","16","649","64","0.6855199999999999"
"3","true","4","70","7","30","37","0","590","64","0.70192"
"1","true","4","70","7","30","42","89","629","64","0.6855199999999999"
"2","true","4","70","7","30","41","236","493","64","0.6888"
"4","true","4","70","7","30","43","0","640","64","0.68224"
"1","true","4","70","7","30","43","71","623","64","0.68224"
"4","true","4","70","7","30","44","0","612","64","0.67896"
"3","true","4","70","7","30","38","2","546","64","0.6986399999999999"
"2","true","4","70","7","30","42","208","535","64","0.6855199999999999"
"1","true","4","70","7","30","44","61","641","64","0.67896"
"4","true","4","70","7","30","45","0","581","64","0.67568"
"3","true","4","70","7","30","39","2","516","64","0.69536"
