"condition","metric","n","mean","sd","min","max"
"altruist-only immigrants final tick 2000","count turtles","20","1645.2","58.92","1560","1756"
"altruist-only immigrants final tick 2000","cc-percent","20","0.246","0.056","0.176","0.438"
"altruist-only immigrants final tick 2000","cd-percent","20","0.684","0.063","0.482","0.762"
"altruist-only immigrants final tick 2000","dc-percent","20","0.017","0.01","0.004","0.038"
"altruist-only immigrants final tick 2000","dd-percent","20","0.053","0.011","0.029","0.071"
"altruist-only immigrants final tick 2000","last100consist-ethno-percent","20","0.882","0.022","0.832","0.913"
"altruist-only immigrants final tick 2000","last100coop-percent","20","0.805","0.018","0.774","0.853"
